Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours)
10/2/24,141168,49216.6592,0:20:55,1515.039,Cocaine Packed Pills | Border Security: Australia's Front Line,24-Mar-24,1441,348583,82214.5864
10/1/24,141128,49808.317,0:21:10,1490.388,Tourist's Big Mistake | Border Security: Australia's Front Line,4-Jan-24,1331,336952,87008.0027
9/30/24,158736,59224.2006,0:22:23,1783.498,Not so smart smuggling concealment,5-Dec-23,46,332773,3876.4152
9/29/24,168051,61482.581,0:21:57,1858.27,"Positive Drug Tests: Heroin, LSD | Border Security: Australia's Front Line",16-Nov-23,1406,328198,81469.7826
9/28/24,157377,60652.5425,0:23:07,1866.329,Serial Drug Offender | Border Security: Australia's Front Line,28-Mar-24,1330,327798,70612.6863
9/27/24,166569,66914.4716,0:24:06,2124.633,Dr's Wife Swoons Under Questioning | Border Security: Australia's Front Line,27-Jan-24,1328,322810,63390.6426
9/26/24,165242,62370.8284,0:22:38,2058.205,Searching for a Killer on Parole | Manhunt: Catch Me If You Can | Season 1 Episode 3,11-Apr-22,2696,311336,95989.1492
9/25/24,180608,66081.7541,0:21:57,2277.154,Overdose at Customs? | Border Security: Australia's Front Line,30-Jul-23,1361,310545,74025.0395
9/24/24,164942,63042.4435,0:22:55,1982.812,Transgender Traveler's Illegal Work Intentions | Border Security: Australia's Front Line,1-Feb-24,1330,308960,67227.3068
9/23/24,168135,62651.9639,0:22:21,1995.191,Cancelled Visa | Border Security: Australia's Front Line,14-Dec-23,1356,307110,81287.5532
9/22/24,185621,72360.1827,0:23:23,2093.019,Attempting to Bribe a Customs Officer? | Border Security: Australia's Front Line,6-Jan-24,1336,302648,69219.1135
9/21/24,174791,66694.6321,0:22:53,1970.398,Alive in the Andes | Trapped,21-Mar-18,3001,298430,56070.7071
9/20/24,173993,64189.7999,0:22:08,2033.062,Traveler Casts Spell on Officers | Border Security: Australia's Front Line,20-Jan-24,1385,296584,64480.6099
9/19/24,195355,69616.2396,0:21:22,2450.057,Gang Territory | NightGuard Security Season 1 Episode 12 | Full Episode,16-Dec-20,2748,296443,84674.0517
9/18/24,156748,57081.4581,0:21:50,1861.495,Oh Canada Live Stream! Border Security Canada Starts Now!,26-Jun-24,6414,292194,223962.0413
9/17/24,192080,68249.9821,0:21:19,2233.869,Package Discovery Prompts Emergency Phone Call | Border Security: Australia's Front Line,14-Apr-24,1291,284705,63826.8173
9/16/24,176007,67937.9416,0:23:09,2049.42,Hot Pursuit | NightGuard Security Season 1 Episode 5 | Full Episode,16-Nov-20,2584,277629,58865.2579
9/15/24,186216,66885.5022,0:21:33,1861.432,Revelation of a Dark Past | Border Security: Australia's Front Line,23-Nov-23,1376,277147,72038.8077
9/14/24,164041,63364.6055,0:23:10,1703.765,Border Agents Fight Against Smugglers | UK Border Patrol,7-Nov-19,1389,274018,66326.4902
9/13/24,157359,50516.828,0:19:15,1540.591,Israeli Woman's Bag Tests Positive for Heroin | Border Security: Australia's Front Line,17-Sep-23,1346,267547,60656.6234
9/12/24,157730,49637.9534,0:18:52,1527.369,Traveling With Fake Passports | Border Security: Australia's Front Line,6-Oct-23,1336,265311,60694.5706
9/11/24,161352,50946.6668,0:18:56,1432.885,Man Overdoses While Trying to Hide Drugs From Customs | Border Security: Canada's Front Line,12-Jun-22,1301,259479,48421.6217
9/10/24,190904,64640.9254,0:20:18,1805.199,More Than A Fashion Crime | Border Security: Australia's Front Line,3-Feb-24,1302,259032,61580.0661
9/9/24,188952,62810.8296,0:19:56,1661.603,Refusing a Frisk Search at the Border | Border Security: Australia's Front Line,26-Feb-23,1278,258380,41165.3216
9/8/24,192975,60295.9454,0:18:44,1491.1,Border Security tears apart delicious fruit looking for illegal substances #bordersecurity,5-Apr-24,58,255545,3398.2531
9/7/24,183051,55816.903,0:18:17,1394.765,Smuggling Scheme Unraveled | Border Security: Australia's Front Line,15-Oct-23,1316,252053,59109.5425
9/6/24,164559,49290.8609,0:17:58,1376.977,Friday's Big Border No No's - Border Security Australia,26-Jul-24,7059,248280,156026.1046
9/5/24,169079,50070.0486,0:17:46,1363.915,Romanian Extradition Warrant | Border Security: Australia's Front Line,27-Oct-23,1321,248066,52970.038
