Cities,City name,Views,Watch time (hours),Average view duration
0x4652533c5c803d23:0x4dd7edde69467b8,"Copenhagen, Denmark",32754,2284.9632,0:04:11
0x89b615f166fcc957:0x9da316eb11e3d5b,"Ashburn, VA, USA",32408,2964.6467,0:05:29
0x3403fefda2ea2807:0x486db43574f494da,Hong Kong,32387,2060.0911,0:03:48
0x56c8917604b33f41:0x257dba5aa78468e3,"Anchorage, AK, USA",32344,3321.6982,0:06:09
0x375a5a287f9133ff:0x2bbd1332436bde32,"Guwahati, Assam, India",32010,390.4064,0:00:43
0x876c588622ba2b9b:0x8441e0688ba2e678,"Aurora, CO, USA",31818,3057.0475,0:05:45
0x80857d8b28aaed03:0x71b415d535759367,"Oakland, CA, USA",31138,4674.1058,0:09:00
0x476d079e5136ca9f:0xfdc2e58a51a25b46,"Vienna, Austria",31063,808.1933,0:01:33
0x39190483e58107d9:0xc23abe6ccc7e2462,"Lahore, Punjab, Pakistan",30789,1522.0702,0:02:57
0x89c25370329a0e1d:0xe1bcdc2adcfee473,"Newark, NJ, USA",30440,3574.0476,0:07:02
0x6d322f4863c5ed01:0x500ef8684799945,"Christchurch, New Zealand",30294,2591.4836,0:05:07
0x89de0a34cc4ffb4b:0xe1a16312a0e728c4,"Albany, NY, USA",29545,1471.2719,0:02:59
0x85ce0026db097507:0x54061076265ee841,"Mexico City, CDMX, Mexico",29431,1209.1612,0:02:27
0x87b692b8ddd12e8f:0xe76910c81bd96af7,"Tulsa, OK, USA",29187,2882.6239,0:05:55
0x54aef172e947b49d:0x9a5b989b36679d9b,"Boise, ID, USA",29009,2826.4947,0:05:50
0x39f29937c52d4f05:0x831a0e05f607b270,"Patna, Bihar, India",28662,332.7264,0:00:41
0x47e66e1f06e2b70f:0x40b82c3688c9460,"Paris, France",28605,724.3154,0:01:31
0x885c162246ce42a9:0x7bea92dac4f534c5,"Knoxville, TN, USA",28296,2404.2255,0:05:05
0x89d9f39bbf979a0d:0xd50ce2d7ad9545,"Syracuse, NY, USA",28030,2773.4824,0:05:56
0x5485dc034d3fa75b:0xd28b4898abd598e0,"Surrey, BC, Canada",27469,1935.2175,0:04:13
0x487d857e0c6f64cd:0xbe252b072a76191,"Newcastle upon Tyne, UK",27345,3448.3246,0:07:33
0x3ae253d10f7a7003:0x320b2e4d32d3838d,"Colombo, Sri Lanka",27325,1789.169,0:03:55
0x87badb6ad27f182d:0x9396d5bf74d33d3e,"Wichita, KS, USA",26897,2384.2989,0:05:19
0x882c986c27de778f:0x2b6aee56d8df0e21,"Hamilton, ON, Canada",26570,1779.9226,0:04:01
0x80dcdd0e689140e3:0xa77ab575604a9a39,"Irvine, CA, USA",26385,2826.0127,0:06:25
0x549054ee2b659567:0x62219c07ebb09e82,"Tacoma, WA, USA",25890,2775.0605,0:06:25
0x882ef20ea88d9b0b:0x28c7d7699a056b95,"London, ON, Canada",25849,1260.0908,0:02:55
0x4870b151656e22b7:0x4f660f5564f0689,"Coventry, UK",25730,3685.0416,0:08:35
0x8806536d3a2019ff:0x4e0cfcb5ba484198,"Madison, WI, USA",25153,1622.616,0:03:52
0x80dcdb956c823085:0xc74f843a1f1efdbc,"Santa Ana, CA, USA",25106,2376.0125,0:05:40
0x3ba859af2f971cb5:0x2fc1c81e183ed282,"Coimbatore, Tamil Nadu, India",25081,280.9167,0:00:40
0x809940ae9292a09d:0x40c5c5ce7438f787,"Reno, NV, USA",24860,2332.0978,0:05:37
0x47c5b7605f54c47d:0x5229bbac955e4b85,"Rotterdam, Netherlands",24848,519.0077,0:01:15
0x396c4adf4c57e281:0xce1c63a0cf22e09,"Jaipur, Rajasthan, India",24785,272.6044,0:00:39
0x3e2f03890d489399:0xba974d1c98e79fd5,Riyadh Saudi Arabia,24785,721.4048,0:01:44
0x3962fcad1b410ddb:0x96ec4da356240f4,"Indore, Madhya Pradesh, India",24667,267.0451,0:00:38
0x54ae4c694e97f129:0xae19866371324a52,"Nampa, ID, USA",24275,1959.7457,0:04:50
0x311d6032280d61f3:0x10100b25de24820,"Bangkok, Thailand",24206,1423.0894,0:03:31
0x89b7b69d7ba7a70f:0xf8cf6fc845f6b093,"Arlington, VA, USA",23730,1252.111,0:03:09
0x3e5e440f723ef2b9:0xc7cc2e9341971108,Abu Dhabi - United Arab Emirates,23573,1068.2931,0:02:43
0x4786c1493f1275e7:0x3cffcd13c6740e8d,"Milan, Metropolitan City of Milan, Italy",23389,527.5847,0:01:21
0x549e185c30bbe7e5:0xddfcc9d60b84d9b1,"Spokane, WA, USA",23018,2225.7365,0:05:48
0x88e62b541cba3ce5:0xf5f53be4b1380536,"Ocala, FL, USA",22862,6369.1997,0:16:42
0x87cf62f745c8983f:0x6bfd6cb31e690da0,"Springfield, MO, USA",22838,1203.8695,0:03:09
0x808fbf46b7e8caf7:0x8ada313b89d888d4,"Fremont, CA, USA",22620,2345.441,0:06:13
0x8815e4ddff22814b:0x80077b147642f793,"Fort Wayne, IN, USA",22488,2377.7891,0:06:20
0x864e62d2e40898d3:0xb5ef6ac1fa05351,"Arlington, TX, USA",22397,2577.7866,0:06:54
0x464f8e67966c073f:0x4019078290e7c40,"Gothenburg, Sweden",22378,815.3657,0:02:11
0x86fe12add37ddd39:0x1af0042922e84287,"Lubbock, TX, USA",21977,1080.3796,0:02:56
0x88fb75fc78f20659:0x4e0c6751036020bc,"Savannah, GA, USA",21891,958.0894,0:02:37
0x8640d5b99bebb619:0xe28b28c8077c64c7,"Cypress, TX, USA",21838,1823.5601,0:05:00
0x80c3537de2fdb8f3:0x2867c6788c87c28d,"San Bernardino, CA, USA",21515,2047.2212,0:05:42
0x86685f806192d2b3:0xaed15093890e908f,"Corpus Christi, TX, USA",21437,1843.8483,0:05:09
0x3bd4c0a5a31faf13:0x19b37d06d0bb3e2b,"Nagpur, Maharashtra, India",21362,219.3629,0:00:36
0x808fb7815c08c193:0xe475a47ca3c0bfc0,"Santa Clara, CA, USA",21134,1476.2952,0:04:11
0x8edb3f9784ded2a1:0x24f321bfabb7af40,"Kingston, Jamaica",20836,4212.8644,0:12:07
0x864c21da13c59513:0x62aa036489cd602b,"Plano, TX, USA",20737,1748.6092,0:05:03
0x390cfd5b347eb62d:0x52c2b7494e204dce,"New Delhi, Delhi, India",20555,239.2465,0:00:41
0x89aec2aa39994541:0x32247cd12233502,"Greenville, NC, USA",20417,1013.3997,0:02:58
0x872a55595c22b693:0x386ce373138cfdf0,"Chandler, AZ, USA",20305,1681.9929,0:04:58
0x5495af63c85914f9:0x8456d5112c91e3f3,"Vancouver, WA, USA",20280,1897.1324,0:05:36
0x471ecc669a869f01:0x72f0be2a88ead3fc,"Warsaw, Poland",20178,341.781,0:01:00
0x3397ca03571ec38b:0x69d1d5751069c11f,"Manila, Metro Manila, Philippines",20124,666.5253,0:01:59
0x52b2d4cee4e9379f:0xc87291d23fda2e29,"St Paul, MN, USA",20105,1758.3738,0:05:14
0x390d19d582e38859:0x2cf5fe8e5c64b1e,"Gurugram, Haryana, India",19720,222.9685,0:00:40
0x80d94e4565c3aacf:0x46ccb8734b8f2bd3,"Chula Vista, CA, USA",19684,2163.5968,0:06:35
0x479e75f9a38c5fd9:0x10cb84a7db1987d,"Munich, Germany",18952,337.5026,0:01:04
0x88424429cc9ceb25:0x84f08341908c4fdd,"Lexington, KY, USA",18948,2232.4315,0:07:04
0x88c2e663693aaa41:0x4cc4003bcd48bff,"St. Petersburg, FL, USA",18846,2682.6994,0:08:32
